location,bhk,bathrooms,area_sqft,parking,furnishing,metro_distance_km,property_age,floor,total_floors,price
Vasant Kunj,4,2,3948,1,Semi-Furnished,5.66,17,6,24,36217432
Karol Bagh,2,2,960,2,Semi-Furnished,14.06,1,12,23,4696260
Noida,4,4,997,1,Furnished,9.42,2,6,18,5584837
Karol Bagh,5,1,2107,0,Unfurnished,5.8,18,16,29,9436248
Saket,4,2,1059,2,Semi-Furnished,5.44,2,10,29,5447083
Janakpuri,3,4,2219,1,Unfurnished,7.65,0,6,12,10839445
South Extension,2,1,844,2,Semi-Furnished,10.35,3,8,8,7752402
Pitampura,4,3,1452,2,Unfurnished,11.38,17,1,17,6051166
Dwarka,5,4,3176,1,Semi-Furnished,1.61,11,10,26,17663006
South Extension,3,4,1465,2,Unfurnished,10.25,11,18,25,12472506
Noida,2,1,1068,1,Unfurnished,10.97,9,9,26,4517647
South Extension,3,3,3004,0,Semi-Furnished,3.26,19,12,24,28147234
Janakpuri,5,3,1184,0,Semi-Furnished,6.68,16,15,33,6013698
Karol Bagh,2,1,2779,1,Unfurnished,3.86,10,9,23,13868632
Ghaziabad,4,3,2660,1,Semi-Furnished,8.16,9,15,18,13279816
Ghaziabad,2,3,3580,0,Furnished,14.85,2,18,31,18822596
Vasant Kunj,1,4,1320,1,Semi-Furnished,10.79,18,6,20,11064036
Laxmi Nagar,4,4,3772,0,Semi-Furnished,3.48,15,4,8,19898951
Noida,2,2,1691,0,Furnished,9.16,19,3,3,8599697
Saket,1,1,3593,2,Furnished,0.82,7,6,18,21555103
Saket,3,3,1940,1,Unfurnished,5.56,11,11,27,9120641
Vasant Kunj,5,3,2938,0,Unfurnished,8.14,5,2,8,25936839
Pitampura,1,2,2767,1,Semi-Furnished,2.26,2,14,19,15806158
Noida,5,3,3584,1,Furnished,14.42,11,8,26,17903369
South Extension,4,2,1903,2,Semi-Furnished,4.16,8,6,6,18424662
Noida,2,1,2880,1,Semi-Furnished,14.76,0,2,5,14516645
Pitampura,2,3,1567,2,Furnished,1.45,13,15,27,8791007
Pitampura,3,4,2527,0,Unfurnished,12.72,15,2,20,10988215
Laxmi Nagar,3,2,3011,0,Semi-Furnished,1.14,17,8,25,15878512
Pitampura,5,1,1946,0,Unfurnished,10.9,17,6,14,8447953
Janakpuri,2,1,2975,2,Semi-Furnished,7.1,6,10,19,16276473
Vasant Kunj,1,2,2429,1,Furnished,7.61,2,5,20,25690333
South Extension,5,3,1901,0,Furnished,9.56,5,13,16,19109975
South Extension,5,3,2328,0,Unfurnished,6.41,3,12,17,20901672
Karol Bagh,2,1,522,2,Furnished,7.18,15,4,12,3042006
Ghaziabad,2,3,1968,0,Semi-Furnished,14.12,6,18,23,9686790
Karol Bagh,5,4,1804,2,Semi-Furnished,1.04,0,8,14,10213085
Janakpuri,3,2,1761,2,Semi-Furnished,1.11,3,12,12,10238656
Janakpuri,5,1,1014,1,Semi-Furnished,7.6,17,16,35,5454584
Noida,2,1,1021,2,Semi-Furnished,1.3,18,9,25,5458274
Janakpuri,1,1,2443,2,Unfurnished,4.92,13,2,11,11909265
Laxmi Nagar,3,3,3986,2,Unfurnished,11.52,6,16,28,18724436
Rohini,3,4,3755,2,Furnished,8.47,16,3,4,20313775
Rohini,2,3,3427,2,Furnished,9.27,17,9,27,17942689
Gurugram,1,2,3826,1,Unfurnished,14.11,0,6,24,32317399
Saket,3,3,3438,0,Furnished,3.87,14,14,17,19222257
South Extension,4,1,3076,1,Semi-Furnished,2.99,9,2,12,30262348
Karol Bagh,3,1,1906,0,Semi-Furnished,8.3,10,9,15,9603218
Dwarka,4,1,758,2,Unfurnished,1.2,3,10,11,3740688
Vasant Kunj,3,2,2220,1,Semi-Furnished,5.77,12,18,19,21064110
Gurugram,2,2,2391,2,Semi-Furnished,10.17,13,9,28,21135860
Saket,2,3,3787,0,Furnished,7.12,3,11,18,21958973
Dwarka,3,2,2140,2,Furnished,14.79,3,11,29,10906288
Pitampura,1,2,669,0,Furnished,1.43,5,7,20,4194364
Gurugram,4,2,632,0,Unfurnished,7.08,14,1,9,4954085
Janakpuri,2,4,3491,2,Unfurnished,0.98,15,18,33,17192120
Pitampura,2,2,3002,0,Unfurnished,6.2,8,7,22,14383155
Laxmi Nagar,1,3,2299,1,Unfurnished,7.15,19,3,10,10325200
Laxmi Nagar,2,3,2481,2,Unfurnished,4.05,19,17,26,11533203
Vasant Kunj,3,2,1554,1,Semi-Furnished,10.59,11,16,27,14342107
South Extension,2,1,1634,0,Furnished,11.04,17,16,16,15400147
Gurugram,2,3,739,1,Furnished,5.78,5,5,16,7740131
Saket,4,2,2763,0,Unfurnished,4.24,12,4,16,13209377
Saket,2,4,3380,0,Furnished,2.35,4,3,17,20896785
Rohini,1,1,2634,0,Semi-Furnished,11.41,18,14,26,12386064
Ghaziabad,4,4,874,0,Semi-Furnished,9.04,10,10,10,4623552
South Extension,4,2,3776,1,Unfurnished,7.66,1,7,15,34322848
Janakpuri,4,2,2246,1,Unfurnished,12.84,12,12,30,10381478
Laxmi Nagar,2,3,3869,1,Unfurnished,12.06,16,4,9,17607123
Noida,4,2,3738,0,Furnished,13.18,5,14,19,20267343
Pitampura,4,2,1806,1,Furnished,7.16,7,10,25,10177716
Pitampura,2,4,1312,0,Semi-Furnished,13.34,18,17,23,6128436
Laxmi Nagar,1,3,2151,0,Unfurnished,5.55,12,2,15,10543664
Karol Bagh,5,1,602,2,Semi-Furnished,7.75,13,15,19,2583039
Vasant Kunj,5,1,1381,2,Unfurnished,13.42,8,10,27,11028160
Rohini,2,4,2349,0,Unfurnished,2.39,16,16,33,11942384
Noida,1,4,1812,1,Unfurnished,14.03,19,4,9,8105443
Rohini,3,2,1034,2,Semi-Furnished,2.04,3,1,6,5822122
Gurugram,5,1,3238,1,Unfurnished,8.48,4,13,22,28743911
Laxmi Nagar,1,3,2720,2,Unfurnished,5.24,9,3,19,13370915
Dwarka,5,1,1605,0,Furnished,6.01,8,2,20,8807334
Ghaziabad,3,4,3848,0,Unfurnished,2.12,17,6,11,19392361
Vasant Kunj,4,1,1377,0,Furnished,14.25,14,12,12,12910318
Saket,1,3,2245,1,Furnished,11.52,1,4,21,12691404
South Extension,4,1,3277,0,Furnished,11.97,9,2,13,31553358
Saket,4,3,1903,1,Furnished,6.03,1,16,35,11475683
Gurugram,5,4,3082,1,Furnished,12.91,5,5,24,29393122
Pitampura,1,2,2436,0,Unfurnished,3.98,16,13,19,11832111
Noida,5,2,1456,1,Unfurnished,8.05,8,15,32,7209298
Noida,4,2,2973,2,Semi-Furnished,8.8,2,5,11,16120309
Gurugram,4,1,822,2,Semi-Furnished,3.77,1,14,18,8555934
Noida,5,3,914,2,Unfurnished,12.04,9,1,19,4424255
Dwarka,1,2,874,0,Furnished,7.13,0,9,25,4694841
Gurugram,5,1,2034,1,Furnished,7.6,7,6,8,21043179
Vasant Kunj,2,2,2282,1,Unfurnished,2.87,15,5,6,20760457
Pitampura,4,4,2851,0,Furnished,12.43,3,7,24,15419172
Saket,4,3,3349,2,Unfurnished,13.48,3,14,18,15619479
Noida,3,3,1022,2,Unfurnished,11.58,13,6,21,5011497
Pitampura,1,4,2100,0,Semi-Furnished,11.55,9,18,29,10741845
Pitampura,1,4,1044,1,Unfurnished,14.5,17,9,10,4053392
Vasant Kunj,2,2,3346,2,Semi-Furnished,9.36,18,15,33,29609395
Ghaziabad,2,4,3317,2,Semi-Furnished,13.2,5,11,20,16906416
Karol Bagh,1,4,2045,2,Unfurnished,4.03,0,5,20,10807439
Vasant Kunj,5,1,1808,1,Unfurnished,13.13,17,10,24,14177061
Vasant Kunj,3,2,3279,2,Semi-Furnished,14.71,12,3,18,27413147
Saket,4,1,1474,1,Furnished,8.36,16,1,8,8029188
Vasant Kunj,2,3,3110,2,Furnished,6.27,2,4,19,32904611
Saket,4,1,3783,0,Furnished,6.0,12,17,32,21287243
Laxmi Nagar,4,1,3684,2,Furnished,3.92,19,4,11,20000930
Noida,1,2,756,0,Semi-Furnished,3.5,9,19,35,4051109
Karol Bagh,5,1,2477,1,Furnished,2.12,10,10,16,14712052
South Extension,1,2,1878,0,Semi-Furnished,6.47,2,15,22,18113332
Dwarka,2,4,2193,0,Semi-Furnished,2.79,10,2,10,11793119
Ghaziabad,3,2,3397,0,Semi-Furnished,4.81,3,15,25,19026548
Janakpuri,3,1,3705,0,Semi-Furnished,4.16,13,4,23,19725678
Vasant Kunj,4,3,3917,1,Furnished,12.41,10,2,14,37572009
Ghaziabad,2,2,883,0,Unfurnished,4.85,7,1,6,4281459
Janakpuri,5,1,3791,1,Unfurnished,10.78,15,4,20,17679964
Vasant Kunj,4,2,2022,1,Furnished,7.02,5,12,20,20388829
Laxmi Nagar,5,1,3830,1,Semi-Furnished,13.69,14,9,18,17918299
Rohini,5,1,3841,0,Furnished,14.85,3,2,20,20765630
Janakpuri,5,1,2878,0,Furnished,5.56,10,7,8,16726799
Saket,4,1,589,0,Furnished,4.32,2,14,22,3776913
Gurugram,5,4,2604,1,Unfurnished,7.72,7,12,21,22569231
Rohini,4,4,551,1,Semi-Furnished,14.72,4,6,22,2981292
Ghaziabad,1,4,1035,1,Furnished,5.47,13,2,20,5633210
Vasant Kunj,4,3,3573,1,Unfurnished,14.49,3,17,22,29897716
Gurugram,1,4,3823,2,Furnished,10.74,3,5,23,37956532
Vasant Kunj,2,3,2220,0,Unfurnished,10.14,4,8,27,19729976
Gurugram,1,3,3312,0,Unfurnished,1.17,9,17,21,31078315
South Extension,1,4,2793,2,Semi-Furnished,11.18,7,8,18,25099214
Karol Bagh,3,3,1980,2,Furnished,11.91,19,17,32,9899249
Saket,2,2,3094,1,Unfurnished,8.69,18,8,12,13950527
Vasant Kunj,2,2,3349,0,Semi-Furnished,14.02,5,6,7,30151409
Laxmi Nagar,5,3,3838,1,Unfurnished,9.71,7,15,26,18015090
Pitampura,5,3,2104,1,Unfurnished,3.12,4,17,18,11171096
Gurugram,4,3,700,1,Furnished,5.15,14,5,16,6847099
Vasant Kunj,1,4,2580,2,Semi-Furnished,10.11,8,2,8,23938401
Dwarka,2,1,3335,2,Semi-Furnished,5.43,11,3,18,17347857
Gurugram,2,1,1068,2,Unfurnished,12.99,18,17,32,8354641
Ghaziabad,5,4,3597,2,Unfurnished,7.69,18,4,4,16613525
Noida,4,4,828,1,Unfurnished,5.92,5,11,14,4030570
Janakpuri,5,2,1198,0,Semi-Furnished,8.59,3,12,16,6413618
Rohini,4,4,3637,0,Semi-Furnished,5.86,10,1,15,18676634
Janakpuri,4,3,2097,1,Semi-Furnished,8.07,17,13,32,10594974
Laxmi Nagar,5,2,2418,0,Furnished,1.66,2,17,28,14899163
Pitampura,4,2,925,2,Semi-Furnished,4.41,5,7,23,4980029
Gurugram,4,1,1490,1,Semi-Furnished,0.74,1,1,11,15986710
Noida,3,4,2708,0,Unfurnished,5.29,18,1,5,12493642
Noida,1,3,1448,0,Furnished,8.17,12,18,29,7969830
Noida,5,3,3243,1,Semi-Furnished,11.15,3,12,22,16857118
Karol Bagh,3,1,701,2,Unfurnished,9.05,9,6,6,2916265
Karol Bagh,5,4,1193,1,Unfurnished,14.62,3,14,33,5523540
Pitampura,5,4,2607,2,Semi-Furnished,13.09,18,8,20,11733195
Rohini,1,2,3852,2,Unfurnished,9.95,17,11,23,17831467
Gurugram,2,1,3572,2,Unfurnished,9.36,8,15,20,30755936
Ghaziabad,1,4,2757,1,Furnished,8.06,8,14,16,15280045
Noida,5,3,756,0,Semi-Furnished,4.72,14,18,26,3690821
Dwarka,4,1,2571,0,Furnished,10.09,9,7,11,13799089
Dwarka,4,2,701,1,Semi-Furnished,10.54,12,15,20,3842658
Pitampura,4,3,2003,2,Furnished,12.78,1,15,18,10612458
Saket,3,2,2052,1,Furnished,9.83,9,3,21,10706702
Karol Bagh,5,3,859,0,Unfurnished,6.02,11,14,20,4098706
Gurugram,5,4,2367,2,Unfurnished,11.08,13,7,14,19923746
Laxmi Nagar,2,4,3961,1,Furnished,0.74,2,17,35,24378509
South Extension,2,2,2765,2,Semi-Furnished,11.01,19,10,25,24019343
Saket,2,2,2135,2,Furnished,14.81,7,7,15,11277111
Gurugram,1,1,2973,0,Semi-Furnished,9.93,7,14,20,27471605
Dwarka,2,3,2622,1,Furnished,9.37,13,13,16,14060982
Janakpuri,4,3,2149,0,Furnished,3.62,6,12,12,12445052
Janakpuri,4,2,3746,2,Semi-Furnished,7.16,6,6,20,19647087
Noida,1,2,1536,2,Furnished,1.04,12,11,14,8643878
Noida,4,4,3520,1,Furnished,6.87,5,14,32,19735668
Janakpuri,3,2,1938,0,Unfurnished,9.7,2,10,26,9141708
South Extension,2,2,3871,2,Unfurnished,6.05,18,15,21,33008398
Noida,5,3,3820,1,Unfurnished,14.79,19,10,14,16165528
Pitampura,1,3,2988,1,Semi-Furnished,14.47,4,15,33,14884858
Noida,1,3,1007,1,Furnished,3.3,12,11,20,6153793
Vasant Kunj,1,2,3813,2,Furnished,9.32,2,14,15,39134391
Dwarka,1,2,3741,1,Unfurnished,3.71,1,11,24,19293956
Rohini,1,3,3628,1,Furnished,7.82,15,7,16,19987745
Karol Bagh,1,1,1749,2,Furnished,7.26,8,6,22,9579245
Laxmi Nagar,3,4,2224,0,Semi-Furnished,9.97,15,3,6,10912798
Karol Bagh,3,1,2438,0,Furnished,9.8,0,6,8,13436773
Dwarka,2,3,2700,0,Semi-Furnished,3.56,10,10,16,14245633
Gurugram,1,1,2476,2,Furnished,8.8,15,13,21,23804202
Laxmi Nagar,2,3,3980,2,Semi-Furnished,11.8,18,3,14,19155512
Rohini,1,1,2923,0,Furnished,13.01,3,19,30,15477697
Pitampura,2,1,2065,2,Semi-Furnished,0.82,19,4,4,10688363
Dwarka,2,4,3881,2,Semi-Furnished,10.87,9,17,28,19435716
Vasant Kunj,4,4,3440,0,Furnished,0.94,14,13,20,36017982
Saket,5,2,2171,1,Furnished,2.97,3,11,19,12829942
Ghaziabad,3,3,670,2,Semi-Furnished,2.61,18,14,24,2998426
Dwarka,2,3,2165,1,Semi-Furnished,11.98,14,12,22,10852264
Ghaziabad,2,2,2628,2,Furnished,7.93,15,6,7,13928138
Karol Bagh,2,4,1905,2,Semi-Furnished,13.99,10,7,24,9357161
Karol Bagh,1,1,3954,0,Unfurnished,4.81,19,11,25,19176886
Noida,1,2,3519,1,Furnished,3.91,2,8,9,20912723
Karol Bagh,1,1,769,0,Semi-Furnished,1.31,8,3,7,3913900
Karol Bagh,3,1,2141,1,Unfurnished,5.92,9,2,17,10261469
Dwarka,5,3,3107,2,Unfurnished,7.65,3,3,11,15332976
Vasant Kunj,3,3,3767,1,Furnished,6.42,15,11,14,37437182
Vasant Kunj,2,1,687,2,Unfurnished,3.16,5,2,13,6436428
Janakpuri,1,4,1808,0,Unfurnished,5.14,16,5,24,8931380
Dwarka,5,1,2845,2,Furnished,12.0,17,2,12,14314788
Rohini,3,4,3106,1,Unfurnished,3.66,10,18,33,15970947
Vasant Kunj,4,1,3196,2,Semi-Furnished,3.15,5,6,16,32302846
Dwarka,3,3,3901,2,Semi-Furnished,10.39,7,5,6,20196519
Pitampura,5,3,1756,2,Unfurnished,1.4,7,14,18,8794210
Noida,1,4,965,0,Unfurnished,3.99,0,18,36,4676595
Karol Bagh,3,4,1118,2,Semi-Furnished,1.82,1,7,21,6338259
South Extension,3,2,679,1,Furnished,5.06,10,3,19,6793131
Ghaziabad,2,3,1669,1,Unfurnished,9.03,8,3,19,8155346
Vasant Kunj,4,3,1111,0,Unfurnished,7.01,6,10,16,9878822
Rohini,4,2,1436,1,Unfurnished,8.34,10,1,17,6772448
Rohini,4,2,815,0,Furnished,14.53,15,1,3,4199993
Karol Bagh,2,2,2222,0,Semi-Furnished,12.56,4,12,20,11108432
Saket,1,3,1028,1,Semi-Furnished,1.4,2,14,30,6023341
Karol Bagh,5,4,2799,1,Semi-Furnished,14.28,11,16,23,13002049
Vasant Kunj,2,4,3202,1,Unfurnished,9.08,3,11,16,28525683
Noida,1,1,3370,0,Semi-Furnished,3.43,8,2,4,17960854
Gurugram,5,4,931,0,Semi-Furnished,1.53,14,14,27,9219495
South Extension,5,4,2513,1,Semi-Furnished,8.19,16,3,3,22123292
Saket,2,4,3363,0,Unfurnished,12.56,13,7,25,15409496
Pitampura,1,3,914,1,Semi-Furnished,1.97,5,5,6,5593439
Karol Bagh,1,4,3918,1,Furnished,4.81,6,19,25,23043340
Dwarka,4,3,2754,2,Unfurnished,8.63,18,15,30,12216182
Gurugram,4,3,3802,2,Semi-Furnished,11.28,10,17,19,33629975
South Extension,5,4,1845,2,Semi-Furnished,8.62,6,10,14,17540449
Laxmi Nagar,4,4,3485,2,Unfurnished,12.54,19,11,18,15432139
Rohini,2,1,2122,1,Furnished,12.78,12,8,18,10990811
Dwarka,5,2,1356,0,Semi-Furnished,14.51,2,7,18,6527758
Laxmi Nagar,3,4,1966,1,Furnished,7.58,17,7,11,10603703
Ghaziabad,3,2,3862,2,Furnished,2.86,1,16,32,23192971
Pitampura,2,4,2171,2,Unfurnished,14.7,19,3,8,9479377
Noida,3,1,1724,1,Furnished,1.08,1,9,22,11066001
Gurugram,3,2,1992,1,Unfurnished,7.97,6,4,17,17848101
Pitampura,4,2,1484,0,Semi-Furnished,2.24,15,15,28,8228080
Noida,5,1,3242,2,Furnished,11.88,3,18,25,17585138
Gurugram,1,2,3807,2,Furnished,3.43,13,5,8,38906499
Noida,3,1,2621,2,Unfurnished,4.99,11,19,37,12932305
Saket,3,4,3641,1,Unfurnished,14.09,8,13,26,16592056
Karol Bagh,3,2,2557,1,Furnished,3.59,15,14,31,14036031
Saket,5,2,1506,0,Unfurnished,4.07,0,3,22,8055647
Saket,5,1,655,1,Furnished,10.09,19,18,32,3762900
Janakpuri,3,2,2809,0,Furnished,7.02,6,12,31,15558883
Laxmi Nagar,2,1,3349,0,Furnished,4.86,10,14,16,18725623
Rohini,1,3,2295,2,Semi-Furnished,4.73,9,15,30,12250200
Pitampura,4,4,2411,2,Unfurnished,11.14,16,13,14,11133032
South Extension,4,2,1193,0,Semi-Furnished,5.1,3,5,9,11726787
South Extension,2,4,1133,2,Unfurnished,6.95,10,13,27,9468066
Rohini,2,3,1339,1,Unfurnished,14.67,8,5,11,5777135
Ghaziabad,3,3,3432,1,Semi-Furnished,1.73,18,13,13,18102447
Saket,1,4,3167,1,Semi-Furnished,8.8,13,9,28,15865235
Pitampura,1,2,2864,0,Unfurnished,0.83,9,8,14,14500346
South Extension,5,4,1951,0,Furnished,6.84,11,16,25,19893433
Pitampura,1,3,2015,2,Unfurnished,14.45,13,13,14,9176834
Saket,4,3,3028,1,Furnished,5.16,19,12,16,16838200
Dwarka,5,3,1991,0,Semi-Furnished,13.78,15,9,18,8886789
Dwarka,2,1,2851,1,Furnished,10.31,3,14,30,15953594
Laxmi Nagar,5,1,2156,2,Semi-Furnished,14.36,18,19,35,9744926
Vasant Kunj,2,1,3611,1,Unfurnished,9.85,18,10,11,29219973
Noida,1,1,2656,2,Unfurnished,4.64,15,7,9,12406338
Rohini,4,4,2133,1,Semi-Furnished,5.62,9,19,29,11131766
Rohini,3,1,646,0,Semi-Furnished,1.71,2,3,10,3413089
Gurugram,5,2,3495,0,Furnished,2.93,5,2,20,37874096
Rohini,3,3,1303,2,Furnished,12.86,4,7,22,7440114
Karol Bagh,5,1,1095,1,Unfurnished,1.24,4,6,8,6269701
Saket,4,2,2323,2,Semi-Furnished,11.13,16,6,11,11347838
Laxmi Nagar,3,3,775,2,Unfurnished,5.99,7,7,14,4317561
Noida,3,3,3199,2,Furnished,3.12,16,5,24,17620858
Dwarka,3,2,1169,1,Semi-Furnished,13.52,9,2,7,5699004
Pitampura,3,1,826,2,Semi-Furnished,6.7,0,11,17,4295039
Saket,5,4,1856,1,Semi-Furnished,6.67,18,18,23,9643635
Rohini,3,2,1081,2,Furnished,4.93,5,3,13,5879345
Pitampura,1,2,1445,0,Semi-Furnished,5.29,16,4,10,7389978
Rohini,2,3,1232,1,Furnished,4.62,19,2,19,7065850
Dwarka,5,4,1476,0,Semi-Furnished,6.03,2,7,7,8001202
Laxmi Nagar,5,1,2804,1,Semi-Furnished,2.27,13,15,31,14741516
Gurugram,3,3,1782,1,Semi-Furnished,2.42,3,3,14,18050192
Noida,4,4,3140,1,Unfurnished,13.89,1,8,21,14670957
Rohini,3,2,858,1,Furnished,12.07,14,2,6,4679539
Ghaziabad,5,3,3588,2,Semi-Furnished,1.85,15,19,31,19429898
Rohini,4,3,3173,1,Furnished,1.64,12,14,20,18895117
Rohini,3,2,593,2,Furnished,10.63,2,2,7,3298259
Saket,2,4,1054,0,Semi-Furnished,0.83,7,11,28,6128681
Ghaziabad,1,3,3447,1,Furnished,6.11,14,3,9,19020675
Saket,1,2,615,2,Furnished,6.65,15,8,10,3576989
Janakpuri,1,2,3189,2,Furnished,1.66,15,15,21,18703330
Pitampura,1,2,1276,0,Semi-Furnished,6.82,11,14,33,6115800
Noida,2,2,893,1,Furnished,4.03,15,5,24,4703142
Rohini,5,4,2899,1,Semi-Furnished,9.22,12,17,34,14603084
Vasant Kunj,1,4,1538,1,Semi-Furnished,1.8,9,13,23,15679346
Ghaziabad,2,3,537,0,Semi-Furnished,6.23,4,7,18,2530377
Ghaziabad,2,4,1524,1,Semi-Furnished,8.38,17,12,18,7315007
Dwarka,3,1,2094,2,Semi-Furnished,9.39,1,8,21,10758667
Laxmi Nagar,1,4,1492,2,Furnished,4.41,9,12,31,8260741
Janakpuri,5,4,2603,2,Unfurnished,14.85,4,1,19,12104970
Karol Bagh,1,3,3873,0,Semi-Furnished,9.46,5,5,21,20138194
South Extension,4,1,3057,0,Furnished,6.88,8,3,3,31163317
Gurugram,2,2,3930,1,Furnished,10.01,15,3,19,37361934
Karol Bagh,2,1,2163,2,Furnished,9.75,5,10,10,12001471
Janakpuri,5,2,3652,2,Unfurnished,1.59,1,17,20,19907416
Gurugram,5,2,3764,1,Furnished,5.21,3,7,20,39996925
Janakpuri,2,2,3880,1,Semi-Furnished,7.46,17,16,21,18996322
Laxmi Nagar,2,2,1850,0,Semi-Furnished,11.69,19,12,13,8994500
Janakpuri,1,3,959,0,Unfurnished,8.96,1,4,22,4514907
Janakpuri,1,2,1156,2,Semi-Furnished,2.1,19,6,17,6079373
Dwarka,2,3,3925,2,Unfurnished,11.73,2,12,27,19101352
Dwarka,5,3,982,2,Semi-Furnished,8.55,11,6,24,5083773
Noida,5,3,3435,0,Unfurnished,5.6,3,18,27,17289049
Pitampura,2,4,1638,0,Semi-Furnished,5.1,5,14,15,9345524
Ghaziabad,5,4,1621,2,Semi-Furnished,13.89,9,17,30,8341452
Laxmi Nagar,3,4,3463,1,Semi-Furnished,6.39,18,19,35,17386841
Pitampura,2,4,1820,2,Unfurnished,3.83,17,16,31,8878693
Dwarka,1,4,1584,2,Unfurnished,2.77,0,8,15,8753086
Vasant Kunj,1,1,2700,0,Unfurnished,1.44,13,10,28,24171945
Rohini,5,4,1596,2,Unfurnished,9.34,10,6,20,7780886
Gurugram,5,4,893,1,Semi-Furnished,13.34,10,3,10,7745069
Saket,3,2,3265,0,Furnished,2.61,14,3,3,18395143
Vasant Kunj,4,2,3109,0,Furnished,14.95,1,4,19,29538407
Pitampura,1,1,3884,1,Unfurnished,13.98,15,8,11,17135888
Dwarka,1,2,3082,2,Semi-Furnished,8.03,12,17,34,15744408
Noida,2,4,1377,0,Unfurnished,9.34,13,15,26,6348903
Laxmi Nagar,1,2,2849,0,Furnished,1.59,4,18,35,17215384
Dwarka,3,1,982,0,Furnished,2.51,13,12,25,5811347
Rohini,2,2,1607,1,Semi-Furnished,10.58,9,15,31,7755669
Pitampura,2,3,3016,2,Semi-Furnished,7.88,3,9,25,16095588
Gurugram,1,2,839,0,Unfurnished,7.65,14,1,19,7155775
South Extension,1,1,707,0,Semi-Furnished,2.4,10,13,18,6768410
Dwarka,4,1,1656,0,Unfurnished,3.5,4,5,11,8453834
Ghaziabad,2,3,633,1,Furnished,11.14,9,11,12,3825012
Dwarka,3,4,964,0,Semi-Furnished,12.96,13,19,22,4217724
Saket,4,1,2038,2,Semi-Furnished,10.37,3,19,22,10842698
Laxmi Nagar,1,1,3175,2,Furnished,7.16,11,18,31,17915017
Dwarka,2,2,651,0,Unfurnished,11.1,7,3,20,3208561
Karol Bagh,5,3,3249,0,Semi-Furnished,4.35,19,7,22,16925839
Laxmi Nagar,3,1,1993,0,Semi-Furnished,4.13,11,13,21,11000719
South Extension,1,4,3981,0,Semi-Furnished,12.66,5,3,10,35998464
Janakpuri,5,2,1069,0,Furnished,6.18,0,12,22,6054396
Janakpuri,3,3,2252,2,Unfurnished,11.47,12,10,26,10594092
Karol Bagh,3,1,3465,1,Semi-Furnished,8.68,9,16,33,18137970
Laxmi Nagar,5,2,1465,1,Unfurnished,13.95,5,7,17,6535196
Saket,1,4,2527,1,Furnished,10.79,4,16,21,13809982
South Extension,1,1,936,2,Unfurnished,2.39,18,12,13,7801682
Ghaziabad,4,2,3269,2,Unfurnished,4.54,15,14,26,15424488
Vasant Kunj,2,2,2591,0,Unfurnished,1.64,15,7,13,23753013
Laxmi Nagar,1,4,3801,1,Semi-Furnished,3.94,13,6,11,20295119
Vasant Kunj,4,2,837,1,Semi-Furnished,7.62,7,1,18,7539936
Vasant Kunj,1,4,3783,0,Furnished,8.17,12,10,22,36851447
Pitampura,5,1,1959,0,Semi-Furnished,10.4,2,2,7,10352009
Saket,5,3,1197,0,Unfurnished,11.71,4,18,32,5713137
Ghaziabad,4,4,3251,2,Semi-Furnished,7.89,7,13,28,16708274
Noida,2,1,993,2,Semi-Furnished,12.23,6,6,22,5097494
Noida,4,2,3308,1,Semi-Furnished,6.28,7,3,10,17627062
Ghaziabad,5,1,2464,1,Furnished,3.35,6,15,17,15042056
Saket,2,2,1639,2,Semi-Furnished,11.72,10,8,9,7652438
South Extension,1,4,1149,1,Semi-Furnished,12.66,6,6,6,10540121
Laxmi Nagar,3,1,3999,0,Unfurnished,6.48,0,3,17,20441328
Karol Bagh,5,3,3695,1,Semi-Furnished,10.78,3,6,6,19212976
Janakpuri,2,2,2529,2,Unfurnished,5.64,6,14,30,12902461
Laxmi Nagar,4,4,1951,0,Unfurnished,8.83,5,7,23,9286031
Saket,1,3,2953,0,Unfurnished,2.24,15,4,5,14456411
Pitampura,5,3,2815,1,Unfurnished,8.71,18,8,13,12850751
Laxmi Nagar,3,1,1560,0,Unfurnished,6.87,9,15,34,8101623
Ghaziabad,1,3,2891,2,Unfurnished,4.23,2,18,22,15180825
Rohini,1,4,1646,0,Unfurnished,5.58,2,19,38,8495025
Vasant Kunj,4,4,1243,2,Unfurnished,3.02,0,16,29,11786585
Karol Bagh,5,4,3785,1,Furnished,3.04,2,4,16,23277585
Karol Bagh,3,2,3262,1,Semi-Furnished,14.59,9,2,7,16014926
Ghaziabad,2,2,3867,1,Unfurnished,3.52,9,13,13,19114864
Rohini,4,2,3539,0,Semi-Furnished,1.43,4,19,23,20095642
Rohini,5,1,3119,1,Semi-Furnished,12.81,8,17,19,15048427
Pitampura,4,4,2647,1,Semi-Furnished,4.47,16,1,19,14026905
Pitampura,1,3,3861,0,Furnished,5.95,7,13,26,22431752
Vasant Kunj,3,2,835,2,Unfurnished,8.56,14,16,28,6860592
Rohini,2,1,1221,1,Unfurnished,14.51,1,3,10,5292257
Rohini,4,4,759,0,Unfurnished,5.66,15,17,31,4036539
Ghaziabad,2,2,3258,1,Furnished,13.88,13,14,27,16838392
Janakpuri,4,2,2082,2,Unfurnished,2.91,18,13,24,10578026
Janakpuri,3,4,2709,0,Semi-Furnished,4.83,2,10,14,15380954
South Extension,5,3,3228,1,Furnished,14.32,5,12,17,31143548
